Url;Zestimate;Price;Rent Zestimate;Days On Zillow;Bathrooms;Bedrooms;Living Area;Lot Size;Home Type;Street Address;City;Zip;State;Country;Broker Name;Has 3D Model;Has Image;Has Video;isZillowOwned;sgapt;statusText;statusType
https://www.zillow.com/homedetails/1033-Heritage-Trl-Big-Bear-City-CA-92314/69006490_zpid/;1771560;1950000;7723;Not specified;5;5;4188;;SINGLE_FAMILY;1033 Heritage Trl;Big Bear City;92314;CA;USA;Re/Max Area Experts;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/2047-7th-Ln-Big-Bear-City-CA-92314/2061678562_zpid/;323300;349000;;Not specified;1;3;840;;SINGLE_FAMILY;2047 7th Ln;Big Bear City;92314;CA;USA;;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/2111-7th-Ln-Big-Bear-City-CA-92314/17394001_zpid/;768356;799000;3196;Not specified;2;3;2304;;SINGLE_FAMILY;2111 7th Ln;Big Bear City;92314;CA;USA;Beverly and Company, Inc.;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/1690-Cascade-Rd-Big-Bear-City-CA-92314/82920053_zpid/;1081411;1149000;4641;Not specified;4;3;2803;;SINGLE_FAMILY;1690 Cascade Rd;Big Bear City;92314;CA;USA;WHEELER STEFFEN SOTHEBY'S INT.;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/46242-Curvate-Dr-Big-Bear-City-CA-92314/79561031_zpid/;711219;729000;3634;Not specified;3;4;2768;;SINGLE_FAMILY;46242 Curvate Dr;Big Bear City;92314;CA;USA;Oasis Realty Group Inc.;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/1150-Valley-View-Dr-Big-Bear-City-CA-92314/125111189_zpid/;624781;634000;3399;Not specified;2;3;2264;;SINGLE_FAMILY;1150 Valley View Dr;Big Bear City;92314;CA;USA;STRATEGY REALTY;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/350-Brewer-Way-Big-Bear-City-CA-92314/17393450_zpid/;640491;659900;3858;Not specified;3;5;2208;;SINGLE_FAMILY;350 Brewer Way;Big Bear City;92314;CA;USA;VIP Real Estate Firm;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/1640-Shenandoah-Way-Big-Bear-City-CA-92314/2062551397_zpid/;1918200;2099999;9797;Not specified;5;6;4668;;SINGLE_FAMILY;1640 Shenandoah Way;Big Bear City;92314;CA;USA;RE/MAX BIG BEAR;FALSO;VERDADERO;FALSO;FALSO;New Construction;New construction;FOR_SALE
https://www.zillow.com/homedetails/236-Greenspot-Blvd-Big-Bear-City-CA-92314/2070275109_zpid/;;549900;;Not specified;2;3;1440;;SINGLE_FAMILY;236 Greenspot Blvd;Big Bear City;92314;CA;USA;KELLER WILLIAMS SIGNATURE RLTY;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/998-Feather-Mountain-Dr-Big-Bear-City-CA-92314/17392260_zpid/;991400;1050000;4214;Not specified;6;8;6200;;SINGLE_FAMILY;998 Feather Mountain Dr;Big Bear City;92314;CA;USA;Re/Max Area Experts;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/433-Eton-Ln-Big-Bear-City-CA-92314/17389801_zpid/;724838;749000;3298;Not specified;3;3;1716;;SINGLE_FAMILY;433 Eton Ln;Big Bear City;92314;CA;USA;First Team Real Estate;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/400-San-Martin-St-Big-Bear-City-CA-92314/17393613_zpid/;445500;449500;2484;Not specified;2;3;1326;;SINGLE_FAMILY;400 San Martin St;Big Bear City;92314;CA;USA;;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/912-Bear-Mountain-Rd-Big-Bear-City-CA-92314/17392341_zpid/;535400;624900;2778;Not specified;2;3;1420;;SINGLE_FAMILY;912 Bear Mountain Rd;Big Bear City;92314;CA;USA;;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/512-Bernhardt-Ln-Big-Bear-City-CA-92314/2078835915_zpid/;634900;699900;3206;Not specified;2;3;1832;;SINGLE_FAMILY;512 Bernhardt Ln;Big Bear City;92314;CA;USA;;FALSO;VERDADERO;FALSO;FALSO;New Construction;New construction;FOR_SALE
