unified_id;month;zipcode;city;host_type;bedrooms;bathrooms;guests;revenue;openness;occupancy;nightly rate;lead time;length stay
AIR10204420;2019-3;92252;Joshua Tree;2-5 Units;3;2;12;12248,61987;31;0,870967742;453,6525879;64,1;2,8
AIR10204420;2019-4;92252;Joshua Tree;2-5 Units;3;2;12;14090,17999;30;0,933333333;503,220714;57,22222222;3,111111111
AIR10204420;2019-5;92252;Joshua Tree;2-5 Units;3;2;12;11373,85989;31;0,774193548;473,9108289;94;2,777777778
AIR10204420;2019-6;92252;Joshua Tree;2-5 Units;3;2;12;10923,91995;30;0,766666667;474,9530414;90,375;2,625
AIR10204420;2019-7;92252;Joshua Tree;2-5 Units;3;2;12;11190,6199;31;0,774193548;466,2758293;69,81818182;2,181818182
AIR10204420;2019-8;92252;Joshua Tree;2-5 Units;3;2;12;11207,21994;31;0,806451613;448,2887976;140;3,111111111
AIR10204420;2019-9;92252;Joshua Tree;2-5 Units;3;2;12;12915,51001;30;0,966666667;445,3624141;78,27272727;2,363636364
AIR10211502;2019-1;92315;Big Bear Lake;Professionals;3;3;9;8609,669983;31;0,64516129;430,4834991;43,11111111;2,333333333
AIR10211502;2019-10;92315;Big Bear Lake;Professionals;3;3;9;7885,279968;31;1;254,3638699;6;2
AIR10211502;2019-11;92315;Big Bear Lake;Professionals;3;3;9;7932,860001;30;0,933333333;283,3164286;4,590909091;1,272727273
AIR10211502;2019-12;92315;Big Bear Lake;Professionals;3;3;9;11511;31;0,709677419;523,2272727;6,384615385;1,692307692
AIR10211502;2019-2;92315;Big Bear Lake;Professionals;3;3;9;7102,179932;28;0,607142857;417,7752901;15,44444444;1,888888889
AIR10211502;2019-3;92315;Big Bear Lake;Professionals;3;3;9;7425,220032;31;0,64516129;371,2610016;10,81818182;1,818181818
AIR10211502;2019-4;92315;Big Bear Lake;Professionals;3;3;9;3320,689941;30;0,5;221,3793294;4,909090909;1,363636364
AIR10211502;2019-5;92315;Big Bear Lake;Professionals;3;3;9;7953,049988;31;0,967741935;265,1016663;17,2;33,4
AIR10211502;2019-6;92315;Big Bear Lake;Professionals;3;3;9;7283,059998;30;1;242,7686666;;
AIR10211502;2019-7;92315;Big Bear Lake;Professionals;3;3;9;7911,930023;31;1;255,2235491;;
AIR10211502;2019-8;92315;Big Bear Lake;Professionals;3;3;9;7783,929993;31;1;251,0945159;;
AIR10211502;2019-9;92315;Big Bear Lake;Professionals;3;3;9;7645,97998;30;1;254,8659993;;
AIR10211700;2019-1;92315;Big Bear Lake;Single Owners;5;2;12;21621,57947;31;0,967741935;720,7193156;10,26315789;1,631578947
AIR10211700;2019-10;92315;Big Bear Lake;Single Owners;5;2;12;21698,94989;31;1;699,9661255;1,814814815;1,148148148
AIR10211700;2019-11;92315;Big Bear Lake;Single Owners;5;2;12;20675;30;0,966666667;712,9310345;2,214285714;1,035714286
AIR10211700;2019-12;92315;Big Bear Lake;Single Owners;5;2;12;22919,83997;31;0,967741935;763,9946655;15,0952381;1,476190476
AIR10211700;2019-2;92315;Big Bear Lake;Single Owners;5;2;12;19631,75952;28;1;701,1342686;8,45;1,4
AIR10211700;2019-3;92315;Big Bear Lake;Single Owners;5;2;12;19898,06;31;1;641,8729031;3,043478261;1,347826087
AIR10211700;2019-4;92315;Big Bear Lake;Single Owners;5;2;12;17098,42029;30;1;569,9473429;2,636363636;1,363636364
AIR10211700;2019-5;92315;Big Bear Lake;Single Owners;5;2;12;21697,82977;31;1;699,9299927;1,851851852;1,148148148
AIR10211700;2019-6;92315;Big Bear Lake;Single Owners;5;2;12;20297,96979;30;0,966666667;699,9299927;1,75;1,208333333
AIR10211700;2019-7;92315;Big Bear Lake;Single Owners;5;2;12;21697,82977;31;1;699,9299927;1,75;1,107142857
AIR10211700;2019-8;92315;Big Bear Lake;Single Owners;5;2;12;20297,96979;31;0,935483871;699,9299927;1,75;1,208333333
AIR10211700;2019-9;92315;Big Bear Lake;Single Owners;5;2;12;20997,89978;30;1;699,9299927;1,928571429;1,071428571
AIR10211875;2019-1;92315;Big Bear Lake;Professionals;3;2;7;0;31;0;;;
AIR10211875;2019-10;92315;Big Bear Lake;Professionals;3;2;7;0;4;0;;;
AIR10211875;2019-2;92315;Big Bear Lake;Professionals;3;2;7;0;28;0;;;
AIR10211875;2019-3;92315;Big Bear Lake;Professionals;3;2;7;0;31;0;;;
AIR10211875;2019-4;92315;Big Bear Lake;Professionals;3;2;7;0;30;0;;;
AIR10211875;2019-5;92315;Big Bear Lake;Professionals;3;2;7;0;31;0;;;
AIR10211875;2019-6;92315;Big Bear Lake;Professionals;3;2;7;0;30;0;;;
AIR10211875;2019-7;92315;Big Bear Lake;Professionals;3;2;7;0;31;0;;;
AIR10211875;2019-8;92315;Big Bear Lake;Professionals;3;2;7;0;31;0;;;
AIR10211875;2019-9;92315;Big Bear Lake;Professionals;3;2;7;0;30;0;;;
AIR10226828;2019-1;92315;Big Bear Lake;Single Owners;4;2;10;13258,7298;31;0,548387097;779,9252822;23,16666667;3
AIR10226828;2019-10;92315;Big Bear Lake;Single Owners;4;2;10;0;31;0;;;
AIR10226828;2019-11;92315;Big Bear Lake;Single Owners;4;2;10;746,9100037;30;0,1;248,9700012;101;3
AIR10226828;2019-12;92315;Big Bear Lake;Single Owners;4;2;10;248,9700012;25;0,04;248,9700012;159;1
AIR10226828;2019-2;92315;Big Bear Lake;Single Owners;4;2;10;14118,59985;28;0,714285714;705,9299927;32,66666667;3,333333333
AIR10226828;2019-3;92315;Big Bear Lake;Single Owners;4;2;10;2489,759949;31;0,193548387;414,9599915;2,5;3
AIR10226828;2019-4;92315;Big Bear Lake;Single Owners;4;2;10;1736,820007;30;0,1;578,9400024;38;3
AIR10226828;2019-5;92315;Big Bear Lake;Single Owners;4;2;10;0;31;0;;;
AIR10226828;2019-6;92315;Big Bear Lake;Single Owners;4;2;10;0;30;0;;;
AIR10226828;2019-7;92315;Big Bear Lake;Single Owners;4;2;10;2074,799957;31;0,161290323;414,9599915;113;5
AIR10226828;2019-8;92315;Big Bear Lake;Single Owners;4;2;10;0;31;0;;;
AIR10226828;2019-9;92315;Big Bear Lake;Single Owners;4;2;10;0;30;0;;;
AIR10255480;2019-1;92314;Big Bear City;Single Owners;5;5.5;15+;12141,85986;31;0,258064516;1517,732483;137;2,666666667
AIR10255480;2019-2;92314;Big Bear City;Single Owners;5;5.5;15+;8993,159912;28;0,214285714;1498,859985;136,5;3
AIR10255480;2019-3;92314;Big Bear City;Single Owners;5;5.5;15+;0;31;0;;;
AIR10255480;2019-4;92314;Big Bear City;Single Owners;5;5.5;15+;0;30;0;;;
AIR10255480;2019-5;92314;Big Bear City;Single Owners;5;5.5;15+;0;31;0;;;
AIR10255480;2019-6;92314;Big Bear City;Single Owners;5;5.5;15+;0;30;0;;;
AIR10255480;2019-7;92314;Big Bear City;Single Owners;5;5.5;15+;0;31;0;;;
AIR10255480;2019-8;92314;Big Bear City;Single Owners;5;5.5;15+;0;31;0;;;
AIR10255480;2019-9;92314;Big Bear City;Single Owners;5;5.5;15+;0;26;0;;;
AIR10297809;2019-5;92314;Big Bear City;Professionals;3;2;8;0;31;0;;;
AIR10297809;2019-6;92314;Big Bear City;Professionals;3;2;8;0;1;0;;;
AIR10308344;2019-1;92315;Big Bear Lake;Single Owners;3;1.5;9;0;31;0;;;
AIR10308344;2019-2;92315;Big Bear Lake;Single Owners;3;1.5;9;0;28;0;;;
AIR10308344;2019-3;92315;Big Bear Lake;Single Owners;3;1.5;9;0;31;0;;;
