unified_id;month;hot_tub;pool
AIR19386566;2022-12;0;0
AIR19403293;2022-12;1;0
AIR19406789;2022-12;1;0
AIR19506963;2022-12;1;0
AIR1970683;2022-12;1;0
AIR19722838;2022-12;1;0
AIR19749104;2022-12;1;0
AIR19810986;2022-12;0;0
AIR20074610;2022-12;0;0
AIR20120805;2022-12;0;1
AIR20184724;2022-12;1;0
AIR20184725;2022-12;1;0
AIR20184735;2022-12;1;0
AIR20184741;2022-12;1;0
AIR20184746;2022-12;1;0
AIR20184750;2022-12;1;0
AIR20184754;2022-12;1;0
AIR20184760;2022-12;1;0
AIR20189213;2022-12;1;1
AIR20193224;2022-12;0;0
AIR20211077;2022-12;0;0
AIR20217277;2022-12;1;0
AIR20232436;2022-12;0;0
AIR20232441;2022-12;1;0
AIR20309826;2022-12;1;0
AIR20393622;2022-12;1;0
AIR20420503;2022-12;1;0
AIR20428024;2022-12;0;0
AIR20447177;2022-12;1;1
AIR20450589;2022-12;1;0
AIR20456529;2022-12;1;0
AIR20608995;2022-12;1;0
AIR20616515;2022-12;0;0
AIR20623968;2022-12;1;0
AIR20625865;2022-12;0;0
AIR20695812;2022-12;1;0
AIR20696692;2022-12;1;0
AIR20829623;2022-12;1;0
AIR20836494;2022-12;1;0
AIR20844432;2022-12;1;0
AIR20875230;2022-12;0;0
AIR20993345;2022-12;0;0
AIR20996593;2022-12;1;0
AIR21024122;2022-12;0;0
AIR21079905;2022-12;0;0
AIR21082012;2022-12;1;0
AIR21149200;2022-12;1;0
AIR21149203;2022-12;1;0
AIR21149204;2022-12;1;0
AIR21149210;2022-12;1;0
AIR21149217;2022-12;1;0
AIR21149221;2022-12;1;0
AIR21149222;2022-12;1;0
AIR21149223;2022-12;1;0
AIR21149224;2022-12;1;0
AIR21154906;2022-12;0;0
AIR21266440;2022-12;1;1
AIR21289349;2022-12;1;0
AIR21354543;2022-12;0;0
AIR21359235;2022-12;1;0
AIR21367725;2022-12;1;0
AIR21368567;2022-12;1;0
AIR21384024;2022-12;0;0
AIR21438826;2022-12;1;0
AIR21440198;2022-12;0;0
AIR21451498;2022-12;1;0
AIR21473739;2022-12;1;0
AIR21476331;2022-12;1;0
AIR21500024;2022-12;0;0
AIR21500446;2022-12;0;0
AIR21527691;2022-12;1;0
AIR21541299;2022-12;0;0
AIR21582359;2022-12;0;0
AIR21594054;2022-12;1;0
AIR21610728;2022-12;0;0
AIR21611305;2022-12;1;0
AIR21623109;2022-12;1;0
AIR21663239;2022-12;1;1
AIR21681203;2022-12;1;0
AIR21701935;2022-12;0;0
AIR21711487;2022-12;0;0
AIR21717242;2022-12;0;0
AIR21749401;2022-12;1;0
AIR21753106;2022-12;1;0
AIR21768145;2022-12;1;0
AIR21768475;2022-12;0;0
AIR21770116;2022-12;1;0
AIR21802861;2022-12;0;0
AIR21830441;2022-12;1;0
AIR21838159;2022-12;1;0
AIR21838354;2022-12;0;0
AIR21847421;2022-12;1;0
AIR21848033;2022-12;0;0
AIR21848231;2022-12;1;0
AIR21850098;2022-12;0;0
AIR21850181;2022-12;1;0
AIR21850216;2022-12;1;0
AIR21852068;2022-12;0;0
AIR21852145;2022-12;1;0
AIR21852181;2022-12;0;0
AIR21852321;2022-12;1;0
AIR21924286;2022-12;0;0
AIR21927129;2022-12;1;1
AIR21927647;2022-12;0;0
AIR21934237;2022-12;0;0
AIR21937014;2022-12;1;0
AIR21937066;2022-12;1;0
AIR21937833;2022-12;0;0
AIR22013713;2022-12;1;0
AIR22028034;2022-12;1;0
AIR22119257;2022-12;1;0
AIR22236930;2022-12;1;1
AIR22283623;2022-12;1;1
AIR22294413;2022-12;1;0
AIR22296723;2022-12;1;0
AIR22345879;2022-12;0;0
AIR22409644;2022-12;1;0
AIR22420197;2022-12;1;0
AIR22443488;2022-12;1;0
AIR22452364;2022-12;1;0
AIR22657246;2022-12;0;0
AIR22770748;2022-12;1;0
AIR22850694;2022-12;0;0
AIR22886448;2022-12;0;0
AIR22889273;2022-12;0;0
AIR22890321;2022-12;1;1
AIR22940120;2022-12;1;0
AIR23020352;2022-12;1;0
AIR23036720;2022-12;0;0
AIR2305425;2022-12;0;1
AIR23094837;2022-12;1;0
AIR23150637;2022-12;1;1
AIR23203257;2022-12;0;0
AIR23258225;2022-12;1;1
AIR23292587;2022-12;1;0
AIR23386508;2022-12;0;0
AIR2343684;2022-12;1;0
AIR23438325;2022-12;1;1
AIR23469171;2022-12;0;0
AIR23503416;2022-12;1;0
AIR23543580;2022-12;1;0
AIR23547295;2022-12;1;0
AIR23630559;2022-12;0;0
AIR23668704;2022-12;1;1
AIR23702546;2022-12;0;0
AIR23715521;2022-12;0;0
AIR23768171;2022-12;0;0
AIR23784019;2022-12;1;0
AIR23793421;2022-12;0;0
AIR23862135;2022-12;0;0
AIR23899141;2022-12;1;0
AIR23942538;2022-12;0;0
AIR24013535;2022-12;0;0
AIR24038529;2022-12;1;0
AIR24045096;2022-12;0;0
AIR24178318;2022-12;1;0
AIR24182317;2022-12;1;1
AIR24206667;2022-12;1;0
AIR24221022;2022-12;0;0
AIR24232505;2022-12;0;0
AIR24255105;2022-12;0;0
AIR24287359;2022-12;0;1
AIR2430228;2022-12;1;0
AIR24309766;2022-12;0;0
AIR24315472;2022-12;1;0
AIR2431950;2022-12;1;0
AIR24555258;2022-12;0;0
AIR24637419;2022-12;0;0
AIR24655415;2022-12;1;0
AIR24660161;2022-12;1;0
AIR24700767;2022-12;1;0
AIR2477352;2022-12;0;0
AIR24800579;2022-12;0;0
AIR24831057;2022-12;1;0
AIR2483588;2022-12;0;0
AIR24857702;2022-12;0;0
AIR24938059;2022-12;0;0
AIR24988387;2022-12;1;0
AIR24989883;2022-12;1;0
AIR25012960;2022-12;1;1
AIR25026507;2022-12;0;0
AIR2510074;2022-12;0;0
AIR25130869;2022-12;0;0
AIR25172825;2022-12;1;0
AIR25201967;2022-12;0;0
AIR2525902;2022-12;1;0
AIR25263812;2022-12;0;0
AIR25356728;2022-12;1;0
AIR25378892;2022-12;1;0
AIR25499481;2022-12;1;0
AIR25732632;2022-12;0;0
AIR25779086;2022-12;0;0
AIR25786600;2022-12;1;0
AIR25893671;2022-12;0;0
AIR25981294;2022-12;1;1
AIR26170882;2022-12;0;0
AIR26261918;2022-12;1;0
AIR26279903;2022-12;0;0
AIR26327847;2022-12;1;0
AIR26331936;2022-12;1;1
AIR26339365;2022-12;1;0
AIR263614;2022-12;0;0
AIR26361848;2022-12;1;0
AIR26441505;2022-12;1;0
AIR26568598;2022-12;0;0
AIR26636567;2022-12;1;1
AIR26657947;2022-12;1;1
AIR26668356;2022-12;0;0
AIR26668975;2022-12;1;0
AIR26869243;2022-12;0;0
AIR27042685;2022-12;0;0
AIR27054872;2022-12;1;0
AIR27159211;2022-12;0;0
AIR27208638;2022-12;1;1
AIR2740053;2022-12;0;0
AIR27431980;2022-12;0;0
AIR27503814;2022-12;1;0
AIR27530624;2022-12;0;1
AIR27531781;2022-12;1;0
AIR27557510;2022-12;1;0
AIR2760821;2022-12;1;0
AIR27634479;2022-12;1;1
AIR2770668;2022-12;1;0
AIR27730468;2022-12;0;0
AIR27734166;2022-12;0;0
AIR27760550;2022-12;1;0
AIR27784773;2022-12;1;0
AIR27853688;2022-12;0;0
AIR27900881;2022-12;1;0
AIR28033224;2022-12;1;0
AIR28105279;2022-12;1;0
AIR28134475;2022-12;1;0
AIR28181787;2022-12;0;0
