unified_id;month;street_name;latitude;longitude
AIR16304086;2022-12;;34,23647;-116,80754
AIR16312572;2022-12;;34,25739;-116,86471
AIR16323226;2022-12;;34,22866;-116,84315
AIR16334878;2022-12;;34,25006;-116,86766
AIR16367671;2022-12;;34,26311;-116,82711
AIR16428200;2022-12;;34,24338;-116,86064
AIR16440183;2022-12;;34,25853;-116,85766
AIR16441497;2022-12;;34,24566;-116,90314
AIR16489418;2022-12;;34,23084;-116,85863
AIR16498571;2022-12;;34,22893;-116,84176
AIR16498790;2022-12;;34,236;-116,85902
AIR16498877;2022-12;;34,2417;-116,88759
AIR16571256;2022-12;;34,23659;-116,85792
AIR16572459;2022-12;;34,25589;-116,8633
AIR16607032;2022-12;;34,26816;-116,85146
AIR16635168;2022-12;;34,26537;-116,86433
AIR16649967;2022-12;;34,2387;-116,90242
AIR16666349;2022-12;;34,23765;-116,88941
AIR16780142;2022-12;;34,09581;-116,2879
AIR16789712;2022-12;;34,23067;-116,84546
AIR16841066;2022-12;;34,24015;-116,88935
AIR16856200;2022-12;;34,2407;-116,88908
AIR16872807;2022-12;;34,25133;-116,87433
AIR16917201;2022-12;;34,24054;-116,87396
AIR16943701;2022-12;;34,24644;-116,8754
AIR17030857;2022-12;;34,23997;-116,88847
AIR17096154;2022-12;;34,14736;-116,40437
AIR17110227;2022-12;;34,25931;-116,83667
AIR17212296;2022-12;;34,13917;-116,33239
AIR1722392;2022-12;Thrush Drive;34,237926;-116,892067
AIR17333334;2022-12;;34,22792;-116,85021
AIR17349530;2022-12;;34,23258;-116,8486
AIR17364180;2022-12;;34,16515;-116,24286
AIR17369087;2022-12;;34,23678;-116,85518
AIR17384871;2022-12;;34,22824;-116,84982
AIR17408320;2022-12;;34,26053;-116,85826
AIR17545294;2022-12;;34,23574;-116,84941
AIR17607459;2022-12;;34,22479;-116,84839
AIR17607576;2022-12;;34,23901;-116,95915
AIR17607578;2022-12;;34,23653;-116,94631
AIR17607579;2022-12;;34,24311;-116,8578
AIR17607586;2022-12;;34,23953;-116,8982
AIR17607599;2022-12;;34,23555;-116,90362
AIR17607600;2022-12;;34,2558;-116,87515
AIR17607609;2022-12;;34,22756;-116,8635
AIR17607620;2022-12;;34,2453;-116,91475
AIR17619224;2022-12;;34,11712;-116,48589
AIR17638604;2022-12;Comstock Lane;34,26723;-116,85901
AIR17655595;2022-12;;34,12129;-116,39656
AIR1782712;2022-12;Emerson Avenue;34,12368;-116,39474
